"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 20 12:24:05 GMT 2021","Fri Aug 20 12:24:39 GMT 2021","34188","","productdata.ProductDataTest","","productdata.ProductDataTest","addProductToCartAndRemove","addProductToCartAndRemove()",""
"broken","Fri Aug 20 12:26:21 GMT 2021","Fri Aug 20 12:26:58 GMT 2021","36387","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setCityTest","setCityTest()",""
"broken","Fri Aug 20 12:25:11 GMT 2021","Fri Aug 20 12:25:48 GMT 2021","36752","","profile.ProfileModifyTest","","profile.ProfileModifyTest","setProfileDataTest","setProfileDataTest()",""
"broken","Fri Aug 20 12:26:58 GMT 2021","Fri Aug 20 12:27:31 GMT 2021","33441","","profile.ProfileModifyTest","","profile.ProfileModifyTest","enterMyProfileTest","enterMyProfileTest()",""
"skipped","Fri Aug 20 12:28:38 GMT 2021","Fri Aug 20 12:28:38 GMT 2021","66","","register.RegisterTest","","register.RegisterTest","registrationTest","registrationTest()",""
"broken","Fri Aug 20 12:28:05 GMT 2021","Fri Aug 20 12:28:38 GMT 2021","33141","","searching.SearchTest","","searching.SearchTest","multiplePageSearch","multiplePageSearch()",""
"broken","Fri Aug 20 12:27:31 GMT 2021","Fri Aug 20 12:28:05 GMT 2021","34000","","searching.SearchTest","","searching.SearchTest","successfullSearch","successfullSearch()",""
"broken","Fri Aug 20 12:24:39 GMT 2021","Fri Aug 20 12:25:11 GMT 2021","32383","","logout.LogoutTest","","logout.LogoutTest","succesfullLogOut","succesfullLogOut()",""
"broken","Fri Aug 20 12:23:27 GMT 2021","Fri Aug 20 12:24:04 GMT 2021","37067","","productdata.ProductDataTest","","productdata.ProductDataTest","productDataDownload","productDataDownload()",""
"broken","Fri Aug 20 12:28:39 GMT 2021","Fri Aug 20 12:29:15 GMT 2021","36649","","login.LoginTest","","login.LoginTest","successfullLogin","successfullLogin()",""
"broken","Fri Aug 20 12:25:48 GMT 2021","Fri Aug 20 12:26:21 GMT 2021","33253","","profile.ProfileModifyTest","","profile.ProfileModifyTest","updateNamesTest","updateNamesTest()",""
